"filename", "language", "HTML", "JSON", "C++", "Dart", "Swift", "Markdown", "YAML", "XML", "Properties", "Objective-C", "Shell Script", "Gradle", "Java", "Kotlin", "comment", "blank", "total"
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 13, 73
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 9, 4, 26
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\kotlin\com\example\pocket_puppy_rattery\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
