"filename", "language", "Dart", "comment", "blank", "total"
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Dev\dev_page.dart", "Dart", 39, 0, 5, 44
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Functions\nav.dart", "Dart", 15, 0, 4, 19
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Functions\utils.dart", "Dart", 113, 3, 25, 141
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\auth_state.dart", "Dart", 19, 0, 3, 22
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\authenticate.dart", "Dart", 214, 3, 24, 241
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Login_Register\verifyemail.dart", "Dart", 94, 0, 15, 109
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\breeding_scheme_model.dart", "Dart", 58, 0, 6, 64
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\genes.dart", "Dart", 57, 0, 13, 70
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\pup_model.dart", "Dart", 54, 0, 5, 59
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\rat.dart", "Dart", 132, 13, 21, 166
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Models\user.dart", "Dart", 15, 0, 3, 18
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\breeding_scheme_provider.dart", "Dart", 54, 0, 9, 63
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\card_controller.dart", "Dart", 20, 0, 6, 26
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\constants.dart", "Dart", 62, 1, 10, 73
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\controller_provider.dart", "Dart", 9, 0, 4, 13
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\custom_widgets.dart", "Dart", 305, 5, 38, 348
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\filter_provider.dart", "Dart", 30, 0, 7, 37
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Services\rats_provider.dart", "Dart", 13, 0, 5, 18
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\Breeding Scheme\add_pup.dart", "Dart", 434, 3, 27, 464
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\Breeding Scheme\breeding_scheme.dart", "Dart", 352, 1, 25, 378
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\Breeding Scheme\breeding_sheme_info_page.dart", "Dart", 656, 11, 36, 703
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\Breeding Scheme\pups.dart", "Dart", 299, 0, 9, 308
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\add_rat.dart", "Dart", 509, 33, 29, 571
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\home_page.dart", "Dart", 1280, 33, 57, 1370
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\profile_page.dart", "Dart", 42, 0, 5, 47
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\rat_info.dart", "Dart", 231, 3, 20, 254
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\Views\settings_page.dart", "Dart", 130, 0, 13, 143
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"c:\Flutter\Apps\GitHub\pocket-puppy-ratery\lib\main.dart", "Dart", 68, 0, 8, 76
"Total", "-", 5370, 121, 438, 5929
